tweet,class
@CutieSplinter :(,0
@CathLewis1 ??,0
@ethanmag ??,0
@Fluffy_Newton ?,0
@GreggiWeggi ??,0
@KifiaKate ??,0
@LisaMariaDC ?,0
@shoppler1 ??,0
@sue_13m ??,0
@Susan88462845 ?,0
@WallerandS ?,0
@hezbonabong not quite...guess again.,0
@_yungtean http://t.co/VpralwJ5zR,0
@13marrisa http://t.co/VpralwJ5zR,0
@ambria_4 http://t.co/vM7chVxXPI,0
@breebay33 http://t.co/IdaXErMTP0,0
@CU_meow https://t.co/mkFKm1hIyz,0
@GuyUWishUWere_ https://t.co/mkFKm1hIyz,0
@hhunternneal http://t.co/LMHdgTql81,0
@ItsMe_Megbutt http://t.co/ZLP0jWGvi5,0
@JXRDVNN https://t.co/mkFKm1hIyz,0
@MiasmaXIII http://t.co/71RiugpWYv,0
@Nareik4G http://t.co/mkFKm1hIyz,0
@Noobface37 https://t.co/mkFKm1hIyz,0
@SoonerUT http://t.co/mkFKm1hIyz,0
@SusuKTG http://t.co/MsJdexFuVB,0
 Good news... considered done...',0
@BarrettAll #waterday join us for the celebration at http://t.co/R2ob4BqKG6,0
@angelapolec :),0
 @aminahhussein word fam \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c',0
@itsTraLa we try.,0
@EricLSark just like us and it's probably not always clean @water right?,0
@adrianadhin great choice. For 2.5 billion people in the world this isn't even an option!,0
@RawkinBanana ??,0
@SeaWorldHurts02 ??,0
@PrettyRedWinter ??,0
@lifetraveler it is isn't it!,0
@TeeMo_Ntilo then may madzi abwino be yours. #waterislife,0
@OceanSolarLLC Not quite. Thanks for guessing. #wherewework,0
@wakulima no try again! And thanks for the #talkback,0
@zoemarie91 beautiful... Known for a big race right? And what about the water? Easy to access?,0
@martin_currie thanks for asking. Check your DM's for more info.,0
@angelabutera1 we agree.,0
@EndSlaveryNow @brooke_hath congrats!,0
@KelEisenhardt Sure thanks for sharing!,0
@PeterGleick yes this is true. Thanks for sharing.,0
@Laila_M_Dashti beautiful thank you for sharing,0
@MatsimeR Madi in South Africa wonderful!,0
@mokhtar_ya @AnamR_Syed thanks!,0
@_neilmac_ a water engineer that's fantastic! Did you know our co-founder Gary White is an engineer?,0
Hi Jeff! @Water is glad to be here for #bareitall,0
@dtmcnally Thanks for your support! Hoping the recipient of your ecard enjoyed it.,0
@ChiMasterGrdnr awesome! Yes #waterislife,0
@triflotoilet well try to stay dry! #SummerWithWater,0
@OverflowProject thanks!,0
@jannekemunoz Thanks!,0
@AfflictedStudio in that case you should follow @Water,0
@Gagan__arora :(,0
 @Haliisheikh we condemn the attack',0
@thatbassguru We do not have one as we are an animal rights organization.,0
" When yuo so tyred,just get a rest...'",0
.@mommieagain nope but you're REALLY close! ;),0
" @abudujana56 emotional blackmail! Lol, let me see what Ab\xc5\xab Rash\xc4\xabd is saying when he gets back.'",0
 @ansaralummah5 @BaniHillal no its his relative',0
@AshNicoleMoss ?,0
@awalknyc_anne ??,0
@demonbloodheart <3,0
@molokoplus ?,0
@uniguide1 ?,0
@akashapaulina plz send blankets and cocoa**It is August 27,0
@chewyrh Completely understandable. Thanks for being a fan. We'll see you in September.,0
@QuickRaven ??????,0
@elleabis close!,0
@zach_dovey We do not. We will tweet any upcoming google hangouts-watch for something at the end of this month. Thanks.,0
@tyfamig how unfortunate. We are not in a position to assist with this it would be best to notify Amazon. Thank you for your support.,0
@Andz_23C now go across the Atlantic #wherewework,0
@mrszavala3913 no go North!,0
@Andz_23C no think West!,0
@stefandyo sounds like a typical day for almost everyone!,0
@RCHanoi look North #WhereWeWork,0
@94Meaney #science http://t.co/c0YRf32dUN,0
@donprovost194 http://t.co/VpralwJ5zR,0
@healthyshanice http://t.co/VpralwJ5zR,0
@SJESOC https://t.co/8ZqLThabO7,0
@CGerrard96 this is correct,0
@clairehastings luckyyyyyyyy,0
@lisymington go east! #WhereWeWork,0
@sav_swiley You likely at one time signed up for http://t.co/RdqglbQd7F. To discontinue posting on our behalf you need to disable the app.,0
@oracleRafiq stay tuned in via our eNews. Sign up at http://t.co/IIPwmuXg87,0
" @MaliWitness this day even different from situation from 6 month Ago, by the way how is HOR?'",0
Love this!! RT special thanks to .@BlakeOverby .@rachelwiese .@kateymarie what would we do without you?!? cc: .@Parlett  #GiveAGirlABreak,0
.@zaneology super cute!,0
@melanie_turk :D,0
@NofreteteRamses <3,0
@nuttree666 <3,0
@sydneyledger we like that. #grateful,0
@pharethoughts beautiful!,0
@oracleRafiq thanks for asking. At this time the scope of work and funding is approved in these countries.,0
@astroantiquity you might find some inspiration from this article-https://t.co/XoxMlAYleC,0
@jbarenburg we do offer curriculum for elementary lessons here http://t.co/bc3Xs5g75T. Thanks.,0
@donprovost194 Nutritious for calves and harmful to humans. http://t.co/xyb0FimkdB,0
 @No2Coconuts yes IS terrorist loll',0
@Brennen_Byrne hi,0
@deffnotdrew hi,0
@Kraemer4 @JGoldsbie much memes,0
@tigersjostun http://t.co/KFbO1s6bS9,0
.@CeleBraySchenn We're sorry you received our Infinity in this condition. Be assured that our products are made using the..,0
.@CocoaCali Great point! It's so true!,0
.@JNotha Sorry about that. You'll want to look for Always Ultra Thin (or Maxi depending on which version you're using) Maximum Protection,0
.@TalkingMomcents .@masalamommas Nothing better than being prepared! Glad we can be there for you! #RealConvo,0
@LynnHasselbrgr @JimHarris our site says 750M. Hope this helps!,0
@RosemarievanHam thank you!,0
@USGS it's an important topic.,0
@mydogleonard Sounds painful but maybe!,0
@getrightjoe indeed there is a connection between education and access to safe water thanks for sharing.,0
@civicindia @jkcallas @TheNextWoods here's to improved sanitation scaling that quickly.,0
@joshieavila who are you trying to reach?,0
@BradShonk Indeed it sustains every living thing. #waterislife,0
@securingwater sure.,0
@inem_c what language is this?,0
@ReshmaW No look East. #wherewework,0
@karolineoyen Norway some from @water will be close for WWWeek soon,0
@ChristosFloros thanks! Did you see it in @TIME ?,0
@jadaann don't we wish everyone could say the same? Thanks for sharing!,0
@SteveMbugua4 So true and worth a re-share.,0
@martin_currie thanks for asking. Details about how @Water selects our partners are available here http://t.co/OxDJ5wxPFj #GiveBackChat,0
@LucyFlatman please send your inquiry to info@water.org thanks!,0
@Kingkrip email inquiries to info@water.org thanks!,0
@simonemassiel please email your interest to info@water.org. Thanks!,0
@tpdnly Not too late you can still contribute through http://t.co/AspxY7Mfe5,0
@AnushaysPoint We have general facts re: water and women here: http://t.co/F8jrwkjkpl,0
@WASHadvocates Jodie Foster & @Water have a great video on this because #WASHMAtters [WATCH] https://t.co/Ks8o0DWZWv,0
@zyngaorg thanks for sharing!,0
@zyngaorg thanks for sharing!,0
@TheRedOwl our generous friends @pactimo were ready to give the jerseys a fresh design are you a cyclist? On http://t.co/Vcw7329Agq?,0
Thanks to everyone who participated in our Twitter chat yesterday. This was the most RT'd advice of the hour: http://t.co/a4Yweo2bnL,0
.@AuntFlo_28 Very well put!! Thanks,0
.@AuntRuby Thanks!! <3,0
.@itsmemeaghan make sure you grab a .@puffs next time!!  (but we're glad it has such an impact on you!) Thanks!!,0
.@lorene4too thanks :),0
.@withAnastasia hey .@Puffs! We need you! (And thanks for the kind words!!!),0
So excited to have you join us! .@Zac_maniac .@masalamommas .@PGinsider #RealConvo,0
You're correct!! .@AuntRuby,0
@AdamHSchechter thank you.,0
@mymusea thanks for your continued support!,0
@FionaOdlum thanks for your support!,0
@TheRedOwl thank you and happy birthday! ??,0
@RealLeylaMilani thank you for your support! ??,0
@geethika_a wow. We sincerely thank you for your support.,0
@geethika_a glad to hear this.,0
@PrettyRedWinter thank you for your kind words!,0
@marshadoucette that works! Have a great Tuesday.,0
@twain627 thank you!,0
@nebbie_law thank you,0
@ComicBS @twitter thanks for your support.,0
@hcriechel Thank you an important lesson indeed.,0
@oneworldplayprj @moreescofield We are glad to #givewater and #giveplay together!,0
@pearlneel looks lovely!,0
@k_meringolo thanks for sharing!,0
@stukhan fabulous! Thanks for sharing!,0
@alokjha @UN_Water thanks for sharing!,0
@Ljo_33 thanks for sharing!,0
@carrieryan thanks for your support!,0
@RizeUpGaming thanks for your support!,0
@AlyJoP we'll take care of it. Thanks for your support!,0
@Sevashree Thank you.,0
@GuideStarUSA Thank you!,0
@mschluepmann Thanks so much for your support!,0
@dawnschultz Thank you!,0
@archimags absolutely. Thanks for sharing.,0
@GlobalTravls and we work every day to make it even better.,0
@C_d_L0 Thanks for your kind words!,0
@johnmoraraandim and education. Yes both are important and part of the work we do.,0
@drdetectve thanks for sharing!,0
@ALynneWilliams we hope you find our site helpful!,0
@maryfox20 best to your race! Thanks for your support.,0
@nikitabillett thanks!,0
@jordanlteague thanks for sharing.,0
@gghezawi thanks for sharing.,0
@sav_swiley Thanks for keeping us around. Cheers!,0
@UrinetownUK Thanks for your support of @Water.,0
@TANUJomar thanks.,0
@artemisbtsfk thanks. We will update.,0
@bobbydean01 thanks for sharing. When did things change for you?,0
@ssteal1 Thanks.,0
@RoyDuke01 thanks for sharing all good things in life.,0
@wendyhuffman That can bring joy. Thanks for sharing!,0
@TuckerCollin Thanks for your support!,0
@AutumnSemper great idea! #goforit,0
@MetsFanInPhilly your voice matters thanks for your support.,0
@dionyziz Thanks for your support!,0
@girlrising glad to be here.,0
@pursueK @GG9Cleveland awesome! Thanks for sharing K!,0
@pursueK congratulations! #gold,0
@magikel724 absolutely! And her employer is fair and gracious. It's a great situation for Lakshmi.,0
@Shobhana_Disha thanks for your reply and glad you agree.,0
@EdRivera85 glad to see that keep it the great work!,0
@dr_ashok_m perhaps when perceived as a gift and opportunity... we cherish things more. #justathought,0
@deanie333 Thanks for sharing what you are thankful for!,0
@WomensW4 thank you cheers!,0
@TenzinGyatsoIns thanks,0
@ckhendry1 thanks for your support!,0
@ellmcgirt Thanks for sharing.,0
@BridgetLoDiary thanks!,0
@realFelipeB thanks for your support.,0
@RosalindCPH absolutely! #waterislife,0
@tony_scotto beautiful... and so important. Thanks for sharing.,0
@realFelipeB thanks for your support!,0
@mymusea Thanks for your support!,0
@TechHive @GoogleDoodles what a beautiful work of art. Congrats to all involved!,0
@beccamcdowall thanks!,0
@LisaD71514 sounds like a productive day!,0
@diyyinah so many ways to say it! Thank you for sharing.,0
@RonanKelly13 thanks for sharing!,0
@GWarrink thanks for sharing from the Netherlands!,0
@a_willow Thanks for sharing from Croatia *voda,0
@YounesBoukhaffa thanks for sharing. Did you create the art?,0
@mdey thanks! It was a pleasure to participate and discuss @water,0
@i_annai ah South America! Did you know @Water is opening offices near you?,0
@FairTradeUSA thanks for the offer. Best wishes!,0
@NedBreslin thanks for the kind words Ned.,0
@JNJGlobalHealth Thanks for sharing and for your support.,0
@tmm0313 Thank you! You are a world changer and @water appreciates your support.,0
@AlisonBliss Thanks for setting up your fundraiser! #givewater,0
@mikkar98 Thanks! @TIME has been great to feature our organization's work.,0
@JoeSquawk thanks for the mention http://t.co/GRSAsso04q would be happy to have you anytime. #waterislife,0
@PoolPro4Android thanks for choosing @Water as your @amazon http://t.co/5zCUaWjmeE charity of choice.,0
@eneaagolli2 @timesofoman see solutions on our site at http://t.co/nuBqc79yXz. #watercredit,0
@yummyyo @amazonsmile thanks for your support! Have you ever thought about doing a http://t.co/KqGCJfZwIY fundraiser? #thanks,0
@MyIgnition not at all! We celebrate all athletes at http://t.co/8jranK44YH,0
@Shaana80 Thanks for starting a http://t.co/KqGCJfZwIY fundraiser!,0
@gabrielfrasca Thanks for your support and Happy Birthday Gabriel! http://t.co/OTd6BGSgGA,0
@RASHIDMWINYIJAB thanks for letting us know. Please email your request to info@water.org.,0
@BaroiBenedict thank you for writing. Please send more details of your interest to info@water.org.,0
@Emiliovargas2 thanks write to info@water.org.,0
@LeafSolar thanks for writing. Email to info@water.org.,0
@Salamatafarmers Thanks for sharing. You can write to info@water.org to connect.,0
@StoneWaterPrize thank you for sharing. Please see your DM.,0
@AbidaNKhan we agree. You might appreciate this post: http://t.co/Fa76U4OfO7,0
@Goodspire of course! You can join http://t.co/mLlrKQmMOs no matter what.,0
@sovia23 thanks for sharing! Have you checked out http://t.co/R2ob4BqKG6?,0
@Raflalo you might also consider http://t.co/KqGCJfZwIY  Thanks for your support!,0
